Year,Cause Name,State,Deaths,Age-adjusted Death Rate
2001,Kidney disease,North Carolina,1332,17.4
2000,Kidney disease,North Carolina,1315,17.6
1999,Kidney disease,North Carolina,1138,15.4
2016,Stroke,North Carolina,4940,43.0
2015,Stroke,North Carolina,5033,44.7
2014,Stroke,North Carolina,4702,43.0
2013,Stroke,North Carolina,4503,42.4
2012,Stroke,North Carolina,4410,42.8
2011,Stroke,North Carolina,4299,43.2
2010,Stroke,North Carolina,4298,44.7
2009,Stroke,North Carolina,4442,47.2
2008,Stroke,North Carolina,4637,50.8
2007,Stroke,North Carolina,4530,51.1
2006,Stroke,North Carolina,4572,53.2
2005,Stroke,North Carolina,4861,59.0
2004,Stroke,North Carolina,4955,61.7
2003,Stroke,North Carolina,5203,66.4
2002,Stroke,North Carolina,5259,68.8
2001,Stroke,North Carolina,5401,72.1
2000,Stroke,North Carolina,5749,78.5
1999,Stroke,North Carolina,5626,77.9
2016,Suicide,North Carolina,1373,13.0
2015,Suicide,North Carolina,1406,13.4
2014,Suicide,North Carolina,1352,13.1
2013,Suicide,North Carolina,1284,12.6
2012,Suicide,North Carolina,1286,12.7
2011,Suicide,North Carolina,1213,12.3
2010,Suicide,North Carolina,1174,12.0
2009,Suicide,North Carolina,1174,12.2
2008,Suicide,North Carolina,1162,12.3
2007,Suicide,North Carolina,1077,11.6
2006,Suicide,North Carolina,1106,12.2
2005,Suicide,North Carolina,1009,11.5
2004,Suicide,North Carolina,1027,11.9
2003,Suicide,North Carolina,955,11.2
2002,Suicide,North Carolina,986,11.8
2001,Suicide,North Carolina,997,12.0
2000,Suicide,North Carolina,971,12.0
1999,Suicide,North Carolina,884,11.0
2015,Unintentional injuries,North Carolina,4991,47.9
2014,Unintentional injuries,North Carolina,4557,44.4
2013,Unintentional injuries,North Carolina,4324,42.7
2012,Unintentional injuries,North Carolina,4281,43.0
2011,Unintentional injuries,North Carolina,4297,43.8
2010,Unintentional injuries,North Carolina,4144,43.2
2009,Unintentional injuries,North Carolina,4136,43.6
2008,Unintentional injuries,North Carolina,4313,46.4
2007,Unintentional injuries,North Carolina,4389,48.3
2006,Unintentional injuries,North Carolina,4156,46.9
2005,Unintentional injuries,North Carolina,4123,47.9
2004,Unintentional injuries,North Carolina,4019,47.7
2003,Unintentional injuries,North Carolina,3835,46.3
2002,Unintentional injuries,North Carolina,3700,45.3
2001,Unintentional injuries,North Carolina,3438,42.6
2000,Unintentional injuries,North Carolina,3525,44.7
1999,Unintentional injuries,North Carolina,3290,42.1
